road_stats_id,road_stats_id_distance,year,dec_lat,dec_long,fatal_count,maj_inj_count,bicycle_death_count,bicycle_maj_inj_count,ped_death_count,ped_maj_inj_count,time_of_day,weather,relation_to_road,alcohol_related,speeding,speeding_related,aggressive_driving
2774,12.7659737613132,2013,40.44219971,-80.26300049,0,2,0,0,0,0,102,2,2,1,0,1,1
3526,0.854848097317291,2013,40.34059906,-79.92919922,0,1,0,0,0,0,1353,1,1,1,0,0,0
3605,9.02681627594527,2013,40.42679977,-79.93789673,0,1,0,0,0,0,1120,1,4,0,0,0,0
1143,3.24283718238802,2013,40.63439941,-79.93979645,0,1,0,0,0,1,2249,4,1,0,0,0,0
4158,1.18371403921274,2013,40.43920135,-79.82969666,0,1,0,0,0,0,1350,1,1,0,0,0,1
1913,3.50887802016461,2013,40.62379837,-79.72440338,1,0,0,0,0,0,1114,1,1,0,0,0,0
4334,4.89719585335662,2013,40.43809891,-79.77420044,1,1,0,0,0,0,124,1,1,1,1,1,1
3706,13.4613448970369,2013,40.49470139,-80.31659698,1,0,0,0,0,0,1044,1,1,0,0,0,0
2016,7.95822607131684,2013,40.64690018,-79.83879852,0,1,0,0,0,0,2245,2,2,0,0,0,0
4666,2.66177770050561,2013,40.37919998,-80.04530334,0,1,0,0,0,1,2031,1,1,0,0,0,0
471,0.707167391221493,2013,40.44380188,-79.92050171,0,1,0,0,0,1,1908,1,1,0,0,0,0
2069,8.39932997871739,2013,40.62990189,-79.88809967,0,1,0,0,0,0,1818,1,1,1,0,0,0
4737,15.2393246210244,2013,40.50839996,-80.17050171,0,1,0,0,0,0,311,1,2,1,0,0,0
591,7.48011453152241,2013,40.44950104,-80.00260162,0,1,0,0,0,1,1015,1,1,0,0,0,0
1863,5.37812142278215,2013,40.40200043,-80.188797,0,1,0,0,0,0,1650,1,1,0,0,0,1
811,1.44511171905497,2013,40.47650146,-80.03170013,1,0,0,0,1,0,1919,1,1,1,0,0,0
887,16.0599940055056,2013,40.45539856,-79.88330078,0,1,0,0,0,0,10,1,1,1,0,1,1
2629,7.19990228114919,2013,40.44409943,-80.02809906,0,1,0,0,0,0,905,1,1,0,0,0,1
4560,2.90113004696273,2013,40.34749985,-80.0161972,0,2,0,0,0,0,1730,1,1,0,0,0,0
3522,7.07926298576297,2013,40.354599,-80.07360077,0,1,0,0,0,0,1619,1,1,0,0,0,1
1468,8.32840505376521,2013,40.42750168,-80.02330017,1,0,0,0,0,0,2113,1,1,1,1,1,1
1531,18.5628023018309,2013,40.33929825,-79.85929871,1,0,0,0,0,0,2356,1,4,1,0,0,1
1247,8.70809094101435,2013,40.39670181,-79.83840179,1,0,0,0,0,0,1826,1,1,0,0,0,0
4494,1.32724343011697,2013,40.3504982,-79.82009888,1,0,0,0,0,0,2228,1,1,1,0,0,0
2987,14.728551860784,2013,40.41999817,-80.1446991,0,1,0,0,0,0,1647,1,4,0,1,1,1
57,1.0711686583466,2013,40.42910004,-79.94090271,1,0,0,0,0,0,1127,1,4,0,0,0,1
1718,4.78969010210927,2012,40.3792991638184,-79.8535003662109,0,1,0,0,0,1,300,1,1,1,0,0,0
3169,6.46164469563212,2012,40.4285011291504,-80.0410003662109,0,2,0,0,0,0,805,1,1,0,0,0,0
2890,12.6341476619146,2012,40.3801002502441,-80.0860977172852,0,1,0,0,0,0,440,1,4,1,1,1,1
1727,12.6331428772504,2012,40.4076995849609,-79.8916015625000,1,0,0,0,0,0,1141,1,1,0,0,0,0
1302,7.52704564456681,2012,40.4407997131348,-80.2387008666992,0,1,0,0,0,0,1754,1,2,0,0,0,1
4210,8.3608420964079,2012,40.6329994201660,-79.8535995483398,0,1,0,0,0,0,1413,2,5,0,0,0,0
3649,3.79023034193914,2012,40.4444007873535,-79.9931030273438,1,0,0,0,1,0,1620,2,1,0,0,0,0
2856,4.68567434124491,2012,40.3811988830566,-80.1735992431641,0,1,0,0,0,0,2035,1,4,0,0,1,1
3685,1.07448569194045,2012,40.2806015014648,-79.9069976806641,0,1,0,0,0,0,220,4,4,0,0,0,0
591,0.758087434374299,2012,40.4502983093262,-80.0027999877930,0,1,0,0,0,1,1840,2,1,0,0,0,0
4230,7.7440044204781,2012,40.4098014831542,-79.9440002441406,0,1,0,0,0,1,1849,2,1,0,0,0,0
2919,1.38734765102912,2012,40.3974990844727,-80.1904983520508,0,1,0,0,0,0,1717,1,5,1,0,0,0
1753,0.914011947900167,2012,40.4380989074707,-79.9940032958984,0,1,0,0,0,0,157,1,1,1,0,0,0
1754,6.94243555065148,2012,40.4109992980957,-79.9554977416992,0,1,0,0,0,1,500,1,2,1,0,0,0
1467,11.8222928860522,2012,40.3969993591309,-79.9987030029297,0,2,0,0,0,0,1611,1,5,0,0,0,0
3122,9.74188602083458,2012,40.47600174,-80.05259705,1,0,0,0,0,0,735,1,1,0,0,0,0
4644,3.82305203937932,2012,40.44409943,-79.91899872,1,0,0,0,0,0,350,4,4,1,0,1,1
5108,0.482988859016185,2012,40.44950104,-80.10739899,0,1,0,0,0,0,1048,1,1,0,0,0,1
930,7.87376442920331,2012,40.39720154,-79.85870361,0,1,0,0,0,0,407,1,1,0,0,0,0
2793,4.56613272770141,2012,40.47249985,-79.95899963,0,1,0,1,0,0,821,1,1,0,0,0,0
4174,17.7101180041767,2012,40.49459839,-79.93569946,0,1,0,0,0,0,1943,1,6,1,0,0,0
3914,5.3353653364723,2012,40.34410095,-79.97160339,0,1,0,0,0,1,706,2,1,1,0,0,0
903,3.9457935665559,2012,40.64319992,-80.13300323,0,1,0,0,0,0,2141,1,5,0,0,1,1
2462,10.1215647578559,2012,40.47489929,-79.84960175,1,0,0,0,0,0,1739,1,1,0,1,1,1
4493,3.51336209612943,2012,40.26259995,-79.88659668,0,1,0,0,0,0,1904,1,2,0,0,0,0
4198,5.93780976158348,2012,40.63909912,-79.71579742,0,1,0,0,0,0,1806,1,2,0,0,0,0
4057,6.84793520766564,2012,40.4673996,-79.90879822,0,1,0,0,0,0,1600,1,4,0,0,0,0
4500,8.20739390675507,2012,40.37829971,-79.92220306,1,0,0,0,0,0,620,1,4,0,0,0,0
5082,8.21752017816602,2012,40.36289978,-79.87619781,0,1,0,0,0,0,1908,1,1,0,1,1,1
4298,13.356826559957,2012,40.49489975,-79.83300018,0,1,0,0,0,0,215,1,5,0,1,1,1
3594,26.1949921489525,2012,40.46969986,-79.75509644,0,1,0,0,0,0,1713,1,4,0,1,1,1
215,1.42462913336045,2012,40.45050049,-79.92749786,0,1,0,0,0,1,2235,1,1,0,0,0,1
